OBS-ID,Spectral WL,Raster step,Raster FOV,Spectral cadence,SJI WL,SJI cad,SJI FOV,Description,Total Datarate (Mbit/s)
72,default,2,6x175,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large coarse 4-step raster,0
73,default,0.33,2.32x30,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Small dense 8-step raster,0
74,default,0.33,2.32x60,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium dense 8-step raster,0
75,default,0.33,2.32x175,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 8-step raster,0
76,default,1,7x60,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sparse 8-step raster,0
77,default,1,7x120,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sparse 8-step raster,0
78,default,1,7x175,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sparse 8-step raster,0
79,default,2,14x60,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium coarse 8-step raster,0
80,default,2,14x120,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large coarse 8-step raster,0
81,default,2,14x175,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large coarse 8-step raster,0
82,default,0.33,5x60,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium dense 16-step raster,0
83,default,0.33,5x120,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large dense 16-step raster,0
84,default,0.33,5x175,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 16-step raster,0
85,default,1,15x60,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sparse 16-step raster,0
86,default,1,15x120,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sparse 16-step raster,0
87,default,1,15x175,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sparse 16-step raster,0
88,default,2,30x120,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large coarse 16-step raster,0
89,default,2,30x175,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large coarse 16-step raster,0
90,default,0.33,20.8x120,64s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large dense 64-step raster,0
91,default,0.33,20.8x175,64s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 64-step raster,0
92,default,1,63x120,64s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sparse 64-step raster,0
93,default,1,63x175,64s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sparse 64-step raster,0
94,default,2,126x120,64s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large coarse 64-step raster,0
95,default,2,126x175,64s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large coarse 64-step raster,0
96,default,0.33,131.7x175,400s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense raster,0
97,default,0.33,31.35x175,96s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Dense synoptic raster,0
98,default,1,35x175,36s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Sparse synoptic raster,0
99,default,2,34x175,18s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Coarse synoptic raster,0
